2021-05-03T09:33:59.970Z	info	service/application.go:281	Starting otelcontribcol...	{"Version": "v0.25.0-58-gf418df50", "NumCPU": 48}
2021-05-03T09:33:59.971Z	info	service/application.go:189	Setting up own telemetry...
2021-05-03T09:33:59.984Z	info	service/telemetry.go:98	Serving Prometheus metrics	{"address": "0.0.0.0:8888", "level": 0, "service.instance.id": "faa30682-12c6-4a44-9be2-81a47b97c192"}
2021-05-03T09:33:59.984Z	info	service/application.go:224	Loading configuration...
2021-05-03T09:33:59.985Z	info	service/application.go:240	Applying configuration...
2021-05-03T09:33:59.985Z	info	builder/exporters_builder.go:274	Exporter was built.	{"kind": "exporter", "exporter": "logging"}
2021-05-03T09:33:59.990Z	info	builder/pipelines_builder.go:204	Pipeline was built.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T09:33:59.990Z	info	builder/receivers_builder.go:230	Receiver was built.	{"kind": "receiver", "name": "otlp", "datatype": "traces"}
2021-05-03T09:33:59.990Z	info	service/service.go:155	Starting extensions...
2021-05-03T09:33:59.990Z	info	service/service.go:200	Starting exporters...
2021-05-03T09:33:59.990Z	info	builder/exporters_builder.go:92	Exporter is starting...	{"kind": "exporter", "name": "logging"}
2021-05-03T09:33:59.990Z	info	builder/exporters_builder.go:97	Exporter started.	{"kind": "exporter", "name": "logging"}
2021-05-03T09:33:59.990Z	info	service/service.go:205	Starting processors...
2021-05-03T09:33:59.990Z	info	builder/pipelines_builder.go:51	Pipeline is starting...	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T09:33:59.990Z	info	builder/pipelines_builder.go:62	Pipeline is started.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T09:33:59.990Z	info	service/service.go:210	Starting receivers...
2021-05-03T09:33:59.990Z	info	builder/receivers_builder.go:70	Receiver is starting...	{"kind": "receiver", "name": "otlp"}
2021-05-03T09:33:59.990Z	info	otlpreceiver/otlp.go:94	Starting GRPC server on endpoint localhost:55680	{"kind": "receiver", "name": "otlp"}
2021-05-03T09:33:59.990Z	info	builder/receivers_builder.go:75	Receiver started.	{"kind": "receiver", "name": "otlp"}
2021-05-03T09:33:59.990Z	info	service/application.go:201	Everything is ready. Begin running and processing data.
2021-05-03T09:34:20.920Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 6668}
2021-05-03T09:34:21.121Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 7304}
2021-05-03T09:34:21.921Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 5094}
2021-05-03T09:34:22.121Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12020}
2021-05-03T09:34:22.927Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 440}
2021-05-03T09:34:23.135Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 102}
2021-05-03T09:34:23.937Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8284}
2021-05-03T09:34:24.138Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 7556}
2021-05-03T09:34:24.939Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8441}
2021-05-03T09:34:25.139Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 6160}
2021-05-03T09:34:25.939Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8052}
2021-05-03T09:34:26.140Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 7607}
2021-05-03T09:34:26.940Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 16277}
2021-05-03T09:34:27.141Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 9600}
2021-05-03T09:34:27.941Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 6652}
2021-05-03T09:34:28.141Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 19722}
2021-05-03T09:34:28.944Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 25592}
2021-05-03T09:34:29.144Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 20968}
2021-05-03T09:34:29.952Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 412}
