2021-05-03T08:56:33.962Z	info	service/application.go:281	Starting otelcontribcol...	{"Version": "v0.25.0-58-gf418df50", "NumCPU": 48}
2021-05-03T08:56:33.962Z	info	service/application.go:189	Setting up own telemetry...
2021-05-03T08:56:33.976Z	info	service/telemetry.go:98	Serving Prometheus metrics	{"address": "0.0.0.0:8888", "level": 0, "service.instance.id": "3fb7624d-fda5-470d-8e17-53f633862f33"}
2021-05-03T08:56:33.976Z	info	service/application.go:224	Loading configuration...
2021-05-03T08:56:33.976Z	info	service/application.go:240	Applying configuration...
2021-05-03T08:56:33.977Z	info	builder/exporters_builder.go:274	Exporter was built.	{"kind": "exporter", "exporter": "logging"}
2021-05-03T08:56:33.984Z	info	builder/pipelines_builder.go:204	Pipeline was built.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T08:56:33.984Z	info	builder/receivers_builder.go:230	Receiver was built.	{"kind": "receiver", "name": "otlp", "datatype": "traces"}
2021-05-03T08:56:33.984Z	info	service/service.go:155	Starting extensions...
2021-05-03T08:56:33.984Z	info	service/service.go:200	Starting exporters...
2021-05-03T08:56:33.984Z	info	builder/exporters_builder.go:92	Exporter is starting...	{"kind": "exporter", "name": "logging"}
2021-05-03T08:56:33.984Z	info	builder/exporters_builder.go:97	Exporter started.	{"kind": "exporter", "name": "logging"}
2021-05-03T08:56:33.984Z	info	service/service.go:205	Starting processors...
2021-05-03T08:56:33.984Z	info	builder/pipelines_builder.go:51	Pipeline is starting...	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T08:56:33.984Z	info	builder/pipelines_builder.go:62	Pipeline is started.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T08:56:33.984Z	info	service/service.go:210	Starting receivers...
2021-05-03T08:56:33.984Z	info	builder/receivers_builder.go:70	Receiver is starting...	{"kind": "receiver", "name": "otlp"}
2021-05-03T08:56:33.984Z	info	otlpreceiver/otlp.go:94	Starting GRPC server on endpoint localhost:55680	{"kind": "receiver", "name": "otlp"}
2021-05-03T08:56:33.985Z	info	builder/receivers_builder.go:75	Receiver started.	{"kind": "receiver", "name": "otlp"}
2021-05-03T08:56:33.985Z	info	service/application.go:201	Everything is ready. Begin running and processing data.
2021-05-03T08:58:17.545Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 322}
2021-05-03T08:58:17.746Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2374}
2021-05-03T08:58:18.546Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 5309}
2021-05-03T08:58:18.747Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10981}
2021-05-03T08:58:19.550Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 23975}
2021-05-03T08:58:19.751Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 24782}
2021-05-03T08:58:20.557Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2220}
2021-05-03T08:58:20.776Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2232}
