2021-05-03T11:28:48.225Z	info	service/application.go:281	Starting otelcontribcol...	{"Version": "v0.25.0-58-gf418df50", "NumCPU": 48}
2021-05-03T11:28:48.225Z	info	service/application.go:189	Setting up own telemetry...
2021-05-03T11:28:48.240Z	info	service/telemetry.go:98	Serving Prometheus metrics	{"address": "0.0.0.0:8888", "level": 0, "service.instance.id": "9ebdee59-e6ee-4c56-b888-f8ac322eb13d"}
2021-05-03T11:28:48.240Z	info	service/application.go:224	Loading configuration...
2021-05-03T11:28:48.240Z	info	service/application.go:240	Applying configuration...
2021-05-03T11:28:48.240Z	info	builder/exporters_builder.go:274	Exporter was built.	{"kind": "exporter", "exporter": "logging"}
2021-05-03T11:28:48.246Z	info	builder/pipelines_builder.go:204	Pipeline was built.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T11:28:48.246Z	info	builder/receivers_builder.go:230	Receiver was built.	{"kind": "receiver", "name": "otlp", "datatype": "traces"}
2021-05-03T11:28:48.246Z	info	service/service.go:155	Starting extensions...
2021-05-03T11:28:48.246Z	info	service/service.go:200	Starting exporters...
2021-05-03T11:28:48.246Z	info	builder/exporters_builder.go:92	Exporter is starting...	{"kind": "exporter", "name": "logging"}
2021-05-03T11:28:48.246Z	info	builder/exporters_builder.go:97	Exporter started.	{"kind": "exporter", "name": "logging"}
2021-05-03T11:28:48.246Z	info	service/service.go:205	Starting processors...
2021-05-03T11:28:48.246Z	info	builder/pipelines_builder.go:51	Pipeline is starting...	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T11:28:48.246Z	info	builder/pipelines_builder.go:62	Pipeline is started.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T11:28:48.246Z	info	service/service.go:210	Starting receivers...
2021-05-03T11:28:48.246Z	info	builder/receivers_builder.go:70	Receiver is starting...	{"kind": "receiver", "name": "otlp"}
2021-05-03T11:28:48.246Z	info	otlpreceiver/otlp.go:94	Starting GRPC server on endpoint localhost:55680	{"kind": "receiver", "name": "otlp"}
2021-05-03T11:28:48.246Z	info	builder/receivers_builder.go:75	Receiver started.	{"kind": "receiver", "name": "otlp"}
2021-05-03T11:28:48.246Z	info	service/application.go:201	Everything is ready. Begin running and processing data.
2021-05-03T11:29:00.262Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 730}
2021-05-03T11:29:00.462Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 4720}
2021-05-03T11:29:01.446Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1028}
2021-05-03T11:29:01.682Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 3550}
2021-05-03T11:29:02.484Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 29762}
2021-05-03T11:29:02.685Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 31685}
2021-05-03T11:29:03.488Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 25722}
2021-05-03T11:29:03.689Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 33413}
2021-05-03T11:29:04.495Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1264}
2021-05-03T11:29:04.702Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1018}
