2021-05-03T09:55:59.941Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8}
2021-05-03T09:56:00.343Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 6}
2021-05-03T09:56:00.943Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 336}
2021-05-03T09:56:01.143Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 320}
2021-05-03T09:56:01.943Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 975}
2021-05-03T09:56:02.143Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 780}
2021-05-03T09:56:02.945Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2342}
2021-05-03T09:56:03.145Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1382}
2021-05-03T09:56:03.946Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10467}
2021-05-03T09:56:04.146Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8902}
2021-05-03T09:56:04.948Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 21461}
2021-05-03T09:56:05.150Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 24118}
2021-05-03T09:56:05.955Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 27616}
2021-05-03T09:56:06.157Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 29264}
2021-05-03T09:56:06.963Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 27197}
2021-05-03T09:56:07.165Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 27192}
2021-05-03T09:56:07.971Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 30230}
2021-05-03T09:56:08.172Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 30508}
2021-05-03T09:56:08.978Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 20}
2021-05-03T09:56:09.179Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 26}
2021-05-03T09:56:09.987Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 42416}
2021-05-03T09:56:10.189Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 41367}
2021-05-03T09:56:10.997Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 42111}
2021-05-03T09:56:11.199Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 41890}
2021-05-03T09:56:12.006Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 38974}
2021-05-03T09:56:12.208Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 38221}
2021-05-03T09:56:13.016Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 38315}
2021-05-03T09:56:13.217Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 37351}
2021-05-03T09:56:14.042Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 35313}
2021-05-03T09:56:14.244Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 32936}
2021-05-03T09:56:15.051Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 35056}
2021-05-03T09:56:15.253Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 36118}
