2021-05-03T11:55:03.842Z	info	service/application.go:281	Starting otelcontribcol...	{"Version": "v0.25.0-58-gf418df50", "NumCPU": 48}
2021-05-03T11:55:03.842Z	info	service/application.go:189	Setting up own telemetry...
2021-05-03T11:55:03.855Z	info	service/telemetry.go:98	Serving Prometheus metrics	{"address": "0.0.0.0:8888", "level": 0, "service.instance.id": "75458ff2-2076-4e65-8dd8-26b54e0db7f0"}
2021-05-03T11:55:03.855Z	info	service/application.go:224	Loading configuration...
2021-05-03T11:55:03.856Z	info	service/application.go:240	Applying configuration...
2021-05-03T11:55:03.856Z	info	builder/exporters_builder.go:274	Exporter was built.	{"kind": "exporter", "exporter": "logging"}
2021-05-03T11:55:03.863Z	info	builder/pipelines_builder.go:204	Pipeline was built.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T11:55:03.864Z	info	builder/receivers_builder.go:230	Receiver was built.	{"kind": "receiver", "name": "otlp", "datatype": "traces"}
2021-05-03T11:55:03.864Z	info	service/service.go:155	Starting extensions...
2021-05-03T11:55:03.864Z	info	service/service.go:200	Starting exporters...
2021-05-03T11:55:03.864Z	info	builder/exporters_builder.go:92	Exporter is starting...	{"kind": "exporter", "name": "logging"}
2021-05-03T11:55:03.864Z	info	builder/exporters_builder.go:97	Exporter started.	{"kind": "exporter", "name": "logging"}
2021-05-03T11:55:03.864Z	info	service/service.go:205	Starting processors...
2021-05-03T11:55:03.864Z	info	builder/pipelines_builder.go:51	Pipeline is starting...	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T11:55:03.864Z	info	builder/pipelines_builder.go:62	Pipeline is started.	{"pipeline_name": "traces/loadbalancer", "pipeline_datatype": "traces"}
2021-05-03T11:55:03.864Z	info	service/service.go:210	Starting receivers...
2021-05-03T11:55:03.864Z	info	builder/receivers_builder.go:70	Receiver is starting...	{"kind": "receiver", "name": "otlp"}
2021-05-03T11:55:03.864Z	info	otlpreceiver/otlp.go:94	Starting GRPC server on endpoint localhost:55680	{"kind": "receiver", "name": "otlp"}
2021-05-03T11:55:03.864Z	info	builder/receivers_builder.go:75	Receiver started.	{"kind": "receiver", "name": "otlp"}
2021-05-03T11:55:03.864Z	info	service/application.go:201	Everything is ready. Begin running and processing data.
2021-05-03T11:55:14.296Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 666}
2021-05-03T11:55:14.496Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1638}
2021-05-03T11:55:15.297Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 29015}
2021-05-03T11:55:15.498Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 25251}
2021-05-03T11:55:16.301Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 35144}
2021-05-03T11:55:16.504Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 5527}
2021-05-03T11:55:17.329Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 27797}
2021-05-03T11:55:17.530Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 28618}
2021-05-03T11:55:18.333Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 30713}
2021-05-03T11:55:18.534Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 17528}
2021-05-03T11:55:19.338Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 31891}
2021-05-03T11:55:19.541Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 30332}
2021-05-03T11:55:20.355Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 4487}
2021-05-03T11:55:20.568Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 5166}
2021-05-03T11:55:21.372Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 44457}
2021-05-03T11:55:21.573Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 42872}
2021-05-03T11:55:22.378Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 37457}
2021-05-03T11:55:22.579Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 37825}
2021-05-03T11:55:23.384Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 44280}
2021-05-03T11:55:23.586Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 44339}
2021-05-03T11:55:24.393Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 45916}
2021-05-03T11:55:24.594Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 46017}
2021-05-03T11:55:25.410Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 46376}
2021-05-03T11:55:25.612Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 45421}
2021-05-03T11:55:26.417Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 40795}
2021-05-03T11:55:26.619Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 42859}
