2021-05-03T12:43:56.055Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 70203}
2021-05-03T12:43:56.256Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 68658}
2021-05-03T12:43:57.059Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 69217}
2021-05-03T12:43:57.260Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 64870}
2021-05-03T12:43:58.076Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 43035}
2021-05-03T12:43:58.278Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 18420}
2021-05-03T12:43:59.082Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 23158}
2021-05-03T12:43:59.283Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 19444}
2021-05-03T12:44:00.084Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 23218}
2021-05-03T12:44:00.285Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 20600}
2021-05-03T12:44:01.086Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 27904}
2021-05-03T12:44:01.287Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 22656}
2021-05-03T12:44:02.089Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 54219}
2021-05-03T12:44:02.290Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 71491}
2021-05-03T12:44:03.095Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 70332}
2021-05-03T12:44:03.296Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 68704}
2021-05-03T12:44:04.099Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 71082}
2021-05-03T12:44:04.300Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 71909}
2021-05-03T12:44:05.104Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 72672}
2021-05-03T12:44:05.305Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 69989}
